HR,COLOR,GLON,GLAT
5563,ff0000ff,67.35,40.5
5735,ff0000ff,71.54,40.84
5903,ff0000ff,67.32,35.66
6322,ff0000ff,65,31.05
6789,ff0000ff,60.71,28.24
424,ff0000ff,56.72,26.46
6116,ff0000ff,70.73,35.33
1543,ff0000ff,-11.45,-23.07
1544,ff0000ff,-9.82,-21.83
1552,ff0000ff,-12.89,-23.52
1567,ff0000ff,-16.27,-24.56
1570,ff0000ff,-9.34,-20.25
1601,ff0000ff,-17.56,-24.02
1713,ff0000ff,-29.24,-25.25
1790,ff0000ff,-16.93,-15.95
1852,ff0000ff,-23.86,-17.74
1903,ff0000ff,-25.21,-17.24
2004,ff0000ff,-34.51,-18.5
2047,ff0000ff,-8.46,-2.73
2061,ff0000ff,-19.79,-8.96
2124,ff0000ff,-18.68,-6.31
2130,ff0000ff,-10.03,-1.18
2199,ff0000ff,-15.81,-2.06
